mol_index,structure_id,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,transformation,left_fragment,right_fragment,flag,sascore
97,Str_g_11337,COC(C)c1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.2889094,2.3839319,3.9467735,0.0019364,0.0006642,0.0042164,0.001861,0.0035385,-4.7455473,3.15e-05,0.0613728,96.729706,0.4358194,2.2835004,0.7606842,0.6645098,0.1054738,0.1161546,0.5954054,0.2056352,0.584687,0.135655,0.2598491,0.064712,2.314632,0.1666576,0.1187357,0.4824566,0.9845841,0.9579726,0.045547,0.5404172,0.861998,0.9327738,0.003703,0.1587352,0.9097366,0.5489861,3.5953329,4.809912,4.818065,0.018484,0.6625098,0.9740949,0.0305705,0.2222204,0.561867,0.8371755,0.8862721,0.6397382,0.7848826,0.9386073,0.9568979,[2*][1*]>>[1*]C([2*])C,[2*][1*],[1*]C([2*])C,left,3.2706573
98,Str_g_8359,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCOC3,-4.226809,2.0887706,3.869282,0.0009459,0.0004913,0.0051276,0.0045263,0.1498416,-4.7375546,4.87e-05,0.0482459,95.4821,0.5033707,3.1589289,0.577626,0.7907626,0.0976292,0.0670924,0.538177,0.1540324,0.4591329,0.1309645,0.0654045,0.0330799,2.6194754,0.4813356,0.1513624,0.4749582,0.9845728,0.9654773,0.0511044,0.2817114,0.8554566,0.9340394,0.0044176,0.6350044,0.8677139,0.5687771,3.623962,4.756545,4.637135,0.0189096,0.3799825,0.9606741,0.0195913,0.3785388,0.4444678,0.8002078,0.8485402,0.4282048,0.6351722,0.9267876,0.9358823,[1*]O[2*]>>[1*]CO[2*],[1*]O[2*],[1*]CO[2*],left,2.7319011
99,Str_g_5899,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)O[C@H](C)O3,-4.1903057,1.9219824,4.0317283,0.0227815,0.0001092,0.0039946,0.0008621,0.0007654,-5.037985,3.21e-05,0.0548019,93.465935,0.53062,5.7458887,0.6799379,0.6291634,0.1047172,0.1168781,0.628704,0.3893066,0.6639936,0.1367798,0.1009061,0.0678246,1.997696,0.555928,0.0965228,0.8166692,0.9869422,0.9919975,0.1352686,0.430596,0.7781674,0.9600559,0.0041707,0.4054342,0.9344922,0.5739288,3.584452,5.0708165,4.758933,0.5842542,0.4007619,0.9423497,0.022326,0.077477,0.0484318,0.0809517,0.67103,0.0709476,0.5910499,0.8516746,0.8654378,[1*]C[2*]>>[1*][C@@H]([2*])C,[1*]C[2*],[1*][C@@H]([2*])C,left,3.2829999
100,Str_g_9050,COc1c(N=O)ccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.128489,1.5152822,3.5216107,0.0049431,6.81e-05,0.0077002,0.0101126,0.1552169,-4.87158,4.35e-05,0.0430659,92.634,0.8308988,7.889001,0.8220317,0.3284724,0.1535844,0.0689673,0.6612504,0.4370794,0.7185267,0.1411843,0.2626336,0.0249248,2.9369822,0.4069709,0.037621,0.8508339,0.9886271,0.9743776,0.367637,0.4618717,0.864032,0.9350626,0.0035763,0.3035815,0.9329366,0.4698014,3.6961396,4.8548636,4.862668,0.0068484,0.5663976,0.9900389,0.2379998,0.4781249,0.6997407,0.7719896,0.9376835,0.8671219,0.925881,0.9685926,0.9854264,[1*][H]>>[1*]N=O,[1*][H],[1*]N=O,left,3.0421672
101,Str_g_9124,COc1c(S(C)(=O)=O)ccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.3187046,1.2903421,2.6104026,0.0054226,0.0006329,0.0065032,0.0022074,0.0013931,-5.7563534,2.33e-05,0.0109204,94.01358,0.5146982,5.765283,0.6458226,0.6109696,0.0443449,0.065954,0.4512374,0.2439262,0.630931,0.1270795,0.3114137,0.0764541,0.6470177,0.2766248,0.1399475,0.7259944,0.9928402,0.6752171,0.275098,0.7731034,0.3089274,0.9147508,0.0031803,0.0568344,0.2451161,0.3077205,3.1873686,4.1827397,4.610092,0.0097795,0.030508,0.8831849,0.0025062,0.044118,0.053115,0.0122844,0.4345033,0.0107914,0.0263141,0.8797174,0.4153624,[1*][H]>>[1*]S(C)(=O)=O,[1*][H],[1*]S(C)(=O)=O,left,2.8626735
102,Str_g_11325,COC(C)(C)c1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.36421,2.8797157,4.584857,0.0050237,0.0005615,0.0078921,0.003333,0.0088548,-4.6550055,7.34e-05,0.113569,96.191414,0.4957764,2.6995425,0.7783992,0.6526556,0.1880181,0.1008017,0.7142788,0.2855485,0.7627844,0.1421079,0.3218908,0.076417,1.7972894,0.2499777,0.0835768,0.2480188,0.9828361,0.8952302,0.0396657,0.3107094,0.8747423,0.9179784,0.0039427,0.1323703,0.9080298,0.5301712,3.5776663,4.862277,4.599839,0.0097021,0.5307462,0.9724266,0.0219743,0.3063021,0.6200736,0.8081686,0.8670123,0.1008463,0.8395625,0.9516543,0.9495782,[2*][1*]>>[1*]C([2*])(C)C,[2*][1*],[1*]C([2*])(C)C,left,2.9629294
103,Str_g_11454,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCOCCCCC3,-4.2293525,3.140327,5.4163218,0.0106522,0.0004075,0.0016454,0.0030272,0.0113118,-4.7159786,4.86e-05,0.0723324,98.59084,0.2911984,1.0210248,0.5954194,0.4341966,0.1719587,0.0711663,0.7926662,0.2297299,0.6118182,0.1346852,0.1215202,0.0204491,2.3321047,0.1740867,0.2805578,0.2365658,0.9791652,0.9576027,0.0427335,0.595214,0.9374609,0.8812971,0.0044399,0.4634938,0.9313991,0.7543906,4.2756405,5.378407,4.847032,0.1015562,0.4469869,0.9652144,0.2051809,0.4724653,0.4043838,0.8826072,0.8697958,0.318421,0.7974929,0.931313,0.9497828,[2*][1*]>>[1*]CCCCC[2*],[2*][1*],[1*]CCCCC[2*],left,3.187706
104,Str_g_7996,O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(Cl)cccc13)OCO2,-4.1640887,2.1418478,4.5541806,0.0020095,0.0001284,0.0038685,0.0012435,0.0025767,-4.763568,5.12e-05,0.184322,99.15363,0.4005162,1.2382613,0.8830023,0.1494978,0.2095392,0.0654785,0.6693166,0.3319432,0.7620384,0.1319415,0.3921328,0.0327034,1.852611,0.2576576,0.1299222,0.4726585,0.9848124,0.9603156,0.0451223,0.6852878,0.9068097,0.9077039,0.0065435,0.618263,0.9461824,0.5056329,3.7897184,5.0394244,4.8970046,0.0076304,0.5773736,0.9772062,0.0196364,0.3065421,0.3562823,0.6868054,0.9060166,0.4651126,0.7890622,0.9427536,0.9503924,[1*]OC>>[1*]Cl,[1*]OC,[1*]Cl,left,2.622526
105,Str_g_5887,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCC3,-4.1637864,2.3769226,4.30597,0.0015531,0.0003715,0.0106008,0.0017978,0.0054123,-4.7594934,2.02e-05,0.0986767,96.12234,0.35597,3.5755355,0.7848676,0.4380667,0.1538025,0.0676906,0.6784228,0.4493768,0.656774,0.142132,0.0832286,0.0327673,1.4272743,0.40728,0.169556,0.5523772,0.9817451,0.9485755,0.0650044,0.6259497,0.9141114,0.9276307,0.0038672,0.3636706,0.7406516,0.5138518,3.6444669,4.900752,4.601832,0.0479499,0.664971,0.9697784,0.1461907,0.4734318,0.4976001,0.8685604,0.89207,0.393747,0.7166851,0.9399987,0.9453474,[1*]C[2*]>>[1*]O[2*],[1*]C[2*],[1*]O[2*],right,2.624577
106,Str_g_9090,CCOc1cc(OC)c2cc([N+](=O)[O-])c3c(C(=O)O)cc4c(c3c2c1)OCO4,-4.454995,2.6586146,4.3296566,0.0083441,0.0002444,0.0031111,0.0033947,0.0027246,-4.759991,3.83e-05,0.0472385,94.792984,0.5554201,4.452818,0.7439002,0.4239676,0.1744799,0.0828801,0.6653176,0.5242374,0.7202893,0.1523117,0.2714134,0.034715,5.150266,0.2843548,0.1157009,0.3243387,0.9821231,0.9126016,0.0442942,0.5966836,0.6305844,0.9429601,0.0034715,0.2379596,0.9188504,0.5461086,3.634514,5.094163,4.926151,0.012327,0.540114,0.9804447,0.0399551,0.2595335,0.4897076,0.7402343,0.8683223,0.6639066,0.7917912,0.9483008,0.9709063,[1*][H]>>[1*]OCC,[1*][H],[1*]OCC,left,2.7003578
